source,dataset,study_wave_or_update,local_file,official_url,role_in_study,notes
BIS,"CBDC projects database","March 2024",data/raw/bis_cbdc_mar2024.csv,https://www.bis.org/publ/work880.htm,CBDC project stage,"Official BIS update; project score 0-3"
World Bank,"Global Findex Database 2025","2021 wave",data/raw/findex_selected_2021.csv,https://www.worldbank.org/en/publication/globalfindex/download-data,Financial inclusion and digital payments,"Compact extract of only the variables used in this repository"
Derived,"Merged analysis dataset","BIS Mar-2024 + Findex 2021",data/processed/cbdc_findex_merged_2021.csv,,Main model dataset,"Generated by analysis/01_prepare_dataset.py"
