ISO2,incomegroupwb24,regionwb24_hi,pop_adult,account_ownership_2021,digital_payment_2021,online_bill_payment_2021,digital_merchant_payment_2021,borrowed_any_2021
LK,Lower middle income,South Asia (excluding high income),16803664,0.892707132323262,0.550611979973612,0.0883127880727932,0.180856716736739,0.419474801145284
LR,Low income,Sub-Saharan Africa (excluding high income),3018782,0.516311457560752,0.460793847168139,0.072709676057683,0.0719234566188546,0.604481792877254
LT,High income,High income,2372426,0.935322396656764,0.907614789028987,0.610178503206995,,0.253847490324466
LV,High income,High income,1596418,0.966187204898816,0.953466551434055,0.773491574716253,,0.389232259966575
MA,Lower middle income,Middle East & North Africa (excluding high income),26706787,0.443728342386603,0.303017411414985,0.0727753079994441,0.0999343038551777,0.57039662936349
MD,Upper middle income,Europe & Central Asia (excluding high income),2108305,0.642455175635428,0.597570342114864,0.209533942368533,0.378245251190615,0.454734739792306
MK,Upper middle income,Europe & Central Asia (excluding high income),1536653,0.852886912768171,0.743226138212801,0.282594820511222,0.448340963756064,0.429072830604833
MM,Lower middle income,East Asia & Pacific (excluding high income),39685121,0.477910290706127,0.399061605795168,0.165838950249833,0.162622195454251,0.330873018997491
MN,Lower middle income,East Asia & Pacific (excluding high income),2237019,0.984550191343593,0.974093441602912,0.434976627983323,0.860921848657197,0.525323073610135
MT,High income,High income,446624,0.96446811059552,0.907323634886824,0.513704749912606,,0.482425305130944
MU,Upper middle income,Sub-Saharan Africa (excluding high income),1058961,0.905263443555157,0.801148911328066,0.189206385325348,0.490550860263362,0.385210029786323
MW,Low income,Sub-Saharan Africa (excluding high income),11111253,0.427078088726996,0.403109616446834,0.100140263643271,0.0784752592301098,0.52884406695841
MY,Upper middle income,East Asia & Pacific (excluding high income),25769271,0.883748841160555,0.792964493422399,0.391150388218523,0.503101813526383,0.320916937509025
MZ,Low income,Sub-Saharan Africa (excluding high income),16874256,0.494927479032385,0.423195836284295,0.159751803993717,0.130485593753402,0.446650517376246
NG,Lower middle income,Sub-Saharan Africa (excluding high income),122350743,0.453166327186278,0.337399424056372,0.0809446567808656,0.0910272426820864,0.544112923131956
NI,Lower middle income,Latin America & Caribbean (excluding high income),4567953,0.260328025128629,0.213706278566244,0.0724385360182964,0.067893811364421,0.383077781536198
NL,High income,High income,14717214,0.997331679359432,0.987854263858091,0.748871619073149,,0.439169424370407
NO,High income,High income,4453612,0.994777714580126,0.994777714580126,0.861670127048589,,0.784452634963258
NP,Lower middle income,South Asia (excluding high income),20254590,0.540026922540655,0.285776879334585,0.0628124985070811,0.0541486576185851,0.539796883711608
NZ,High income,High income,4122094,0.987523814505022,0.97598536425928,0.805618464191443,,0.699079448918762
PA,High income,High income,3160275,0.449670337532433,0.364498082801682,0.183397153098341,,0.294497218090841
PE,Upper middle income,Latin America & Caribbean (excluding high income),24463530,0.574978561461709,0.491407135118103,0.19679421922839,0.218163904803478,0.414520697801377
PH,Lower middle income,East Asia & Pacific (excluding high income),77692157,0.513717638928697,0.434522964546183,0.205767294806197,0.184813064410323,0.577529583002064
PK,Lower middle income,South Asia (excluding high income),146030491,0.209806311316514,0.176233271997723,0.057420439821652,0.0107401554651021,0.301630148634552
PL,High income,High income,32028961,0.957201672270221,0.931843993558558,0.704396139551519,,0.460403184295304
PS,Lower middle income,Middle East & North Africa (excluding high income),2915259,0.336425508866377,0.209943333574238,0.0271956460314457,0.0565510248880257,0.416806245460161
PT,High income,High income,8923687,0.926495073207262,0.906443961480128,0.453960094828681,,0.373935920949931
PY,Upper middle income,Latin America & Caribbean (excluding high income),4679787,0.54419977087987,0.511553636855618,0.107200317625332,0.0999398920358336,0.348339716608372
RO,High income,High income,16163817,0.691155037619615,0.635111219691868,0.340746691461656,,0.413610055474523
RS,Upper middle income,Europe & Central Asia (excluding high income),5915242,0.894157368417161,0.874851859157791,0.273141083329121,0.4541332643983,0.501161886220939
RU,Upper middle income,Europe & Central Asia (excluding high income),119582441,0.897193266222482,0.874150459442505,0.585663324765089,0.710469924849696,0.510018993253742
SA,High income,High income,23509479,0.74320746724648,0.73454579640307,0.620173410502928,,0.597271960770624
SE,High income,High income,8517166,0.996887646957821,0.990595785214184,0.822859990005788,,0.569120752568677
SG,High income,High income,4993587,0.975498512325819,0.94838043412618,0.581148082988142,,0.461829062576678
SI,High income,High income,1784150,0.990496614015272,0.970184086855026,0.5584609042608,,0.539157736902209
SK,High income,High income,4593346,0.956196968335478,0.945502543801981,0.722819177706126,,0.453538750950276
SL,Low income,Sub-Saharan Africa (excluding high income),4762478,0.288466044614564,0.27005586976239,0.039035849866834,0.0327310502610564,0.537464813004354
SS,Low income,Sub-Saharan Africa (excluding high income),6159568,0.058314074673825,0.0481070972131712,0.0158573507581916,0.0062822377135349,0.369230720309785
SV,Lower middle income,Latin America & Caribbean (excluding high income),4592875,0.358453551303162,0.278190788001185,0.080835463933836,0.0985185708831796,0.298113806413552
TH,Upper middle income,East Asia & Pacific (excluding high income),60059109,0.955769973139711,0.920256352328798,0.46935192389949,0.632691355557406,0.558897334814708
TJ,Lower middle income,Europe & Central Asia (excluding high income),6196225,0.394881617560099,0.331332088342996,0.0386212549653646,0.0404728522756102,0.317513245196475
TN,Lower middle income,Middle East & North Africa (excluding high income),8970562,0.36853236511337,0.276944988729278,0.0336623941852097,0.0667537492562658,0.505834020543242
TR,Upper middle income,Europe & Central Asia (excluding high income),64398074,0.740916612877286,0.676269782547618,0.420704480953953,0.447706832325296,0.649787525932821
TW,High income,High income,20568066,0.947110381370228,0.877492423364451,0.383520337546851,,0.666197294088751
TZ,Lower middle income,Sub-Saharan Africa (excluding high income),34527295,0.524333347484758,0.502158398367295,0.188776504328695,0.0449159801794265,0.469665960527555
UA,Lower middle income,Europe & Central Asia (excluding high income),37851388,0.835648133398349,0.813375186924419,0.472222112210602,0.585377357843424,0.564637028017391
UG,Low income,Sub-Saharan Africa (excluding high income),24351947,0.65914011087313,0.62577623252471,0.251485621173614,0.103348169863667,0.751302492532307
US,High income,High income,270549658,0.949532296473716,0.929663801012284,0.65789994083524,,0.761784850972424
UY,High income,High income,2725712,0.741272677007413,0.679852440184516,0.322885571968271,,0.557796344001248
UZ,Lower middle income,Europe & Central Asia (excluding high income),23599241,0.441347902834696,0.417219386834756,0.161329321277049,0.326257816051198,0.302729299457748
VE,Upper middle income,Latin America & Caribbean (excluding high income),20527738,0.843948009275794,0.811885457264512,0.493248363705469,0.67303744658045,0.439918989180376
ZA,Upper middle income,Sub-Saharan Africa (excluding high income),44211052,0.85378111952418,0.808057747566285,0.276136557776129,0.540705859617932,0.603544223591496
ZM,Low income,Sub-Saharan Africa (excluding high income),10800121,0.48521887299618,0.464465679124536,0.184116954741626,0.0842155018520154,0.593185765956697
ZW,Lower middle income,Sub-Saharan Africa (excluding high income),8977056,0.597459292908934,0.576650190996515,0.214514984704946,0.475647990769579,0.531081801090596
