model,term,coef_std,std_err_HC3,z,p_value,odds_ratio_1sd,n
M1_digital,account_ownership_2021,1.3775260198121089,0.5323629639522299,2.58756922079147,0.009665577325808944,3.9650799539419266,112
M1_digital,online_bill_payment_2021,-0.2681414008790474,0.4595509040298122,-0.5834857434240897,0.5595663515924708,0.7647996301167284,112
M1_digital,log_adult_population,1.1982050828746313,0.290752407764353,4.121049562711598,3.771502703347442e-05,3.3141629330712195,112
M2_macro,account_ownership_2021,1.3515677355318243,0.5993179512679425,2.255176459627799,0.024122254900886524,3.8634776966210143,95
M2_macro,online_bill_payment_2021,-0.6494587018009199,0.5369486184666129,-1.20953603280628,0.2264569765001243,0.5223284356942982,95
M2_macro,log_adult_population,1.501867419641949,0.3566406452553806,4.2111504665053054,2.5407343967298603e-05,4.490066083802465,95
M2_macro,log_gdp_per_capita_ppp_2021,-0.9998559453761902,0.860321908823033,-1.1621881706395776,0.24515903865961064,0.3679324397231992,95
M2_macro,internet_users_2021,1.572840039448933,0.8616681752558207,1.8253430782469973,0.06794927327421348,4.82031866741622,95
M2_macro,domestic_credit_private_2021,0.3096906097687707,0.3250914647034257,0.9526260864809082,0.34077955512878955,1.3630033489692277,95
M2_macro,inflation_2021,-0.008465784377275881,0.38616065042797537,-0.021922959700563467,0.9825094099824127,0.991569949465849,95
M3_governance,account_ownership_2021,1.4004146797687516,0.590336734456089,2.372230284905163,0.01768106686815268,4.056881924942062,95
M3_governance,online_bill_payment_2021,-0.5152573606876356,0.622885061329549,-0.8272109778773922,0.40811749049946366,0.5973468412402301,95
M3_governance,log_adult_population,1.4449369191597312,0.3642558644175262,3.966818547919054,7.283840311289481e-05,4.241584571662365,95
M3_governance,log_gdp_per_capita_ppp_2021,-0.8083570998114284,0.963945770452124,-0.8385918840976717,0.4016983665251693,0.4455895243156211,95
M3_governance,internet_users_2021,1.5802405019342316,0.869657391126118,1.8170839666963339,0.06920425737809284,4.856123577920089,95
M3_governance,domestic_credit_private_2021,0.3893369995446917,0.3514422336418597,1.1078264427987017,0.2679367778030246,1.4760018794900192,95
M3_governance,inflation_2021,-0.05913953305234318,0.3922774675438768,-0.15075944438671673,0.8801654792164774,0.9425752395807098,95
M3_governance,wgi_governance_index_2021,-0.4446451077588563,0.7773924969622362,-0.5719698987273041,0.5673423676735767,0.6410517399560226,95
