,project_score_overall,account_ownership_2021,digital_payment_2021,online_bill_payment_2021,digital_merchant_payment_2021,borrowed_any_2021,pop_adult
project_score_overall,1.0,0.38137472968728686,0.33104395437509043,0.27614858513070883,0.364568575688663,0.3111323335876586,0.2564210940095179
account_ownership_2021,0.38137472968728686,1.0,0.974868110081537,0.8382001939417376,0.8061281019324593,0.3767579377204657,0.05581747929506671
digital_payment_2021,0.33104395437509043,0.974868110081537,1.0,0.8881434986358063,0.8662397697869757,0.4183826579931081,-0.02006176981518588
online_bill_payment_2021,0.27614858513070883,0.8382001939417376,0.8881434986358063,1.0,0.8907103978150466,0.4237417777169543,0.0011406059375504724
digital_merchant_payment_2021,0.364568575688663,0.8061281019324593,0.8662397697869757,0.8907103978150466,1.0,0.13933322072272217,0.20508210409375086
borrowed_any_2021,0.3111323335876586,0.3767579377204657,0.4183826579931081,0.4237417777169543,0.13933322072272217,1.0,0.043014097790343694
pop_adult,0.2564210940095179,0.05581747929506671,-0.02006176981518588,0.0011406059375504724,0.20508210409375086,0.043014097790343694,1.0
