family,model,n,aic,bic,log_likelihood
ordered_probit,M1_digital,112,228.6984358085412,245.00942903631176,-108.3492179042706
ordered_probit,M2_macro,95,199.20709439420696,224.74586331021237,-89.60354719710348
ordered_probit,M3_governance,95,200.60708301119433,228.69972881880028,-89.30354150559717
ordered_logit,M1_digital,112,224.1170235450375,240.42801677280806,-106.05851177251876
ordered_logit,M2_macro,95,194.38887578804096,219.92764470404637,-87.19443789402048
ordered_logit,M3_governance,95,195.75237700476183,223.84502281236777,-86.87618850238091
binary_logit_HC3,M1_digital,112,111.4170808158372,,-51.7085404079186
binary_logit_HC3,M2_macro,95,92.09235151689185,,-38.046175758445926
binary_logit_HC3,M3_governance,95,93.66566835416704,,-37.83283417708352
