link,model,term,coef_std,std_err,z,p_value,n,aic,bic
probit,M1_digital,account_ownership_2021,0.6762225835832606,0.21409891734550612,3.1584586786676447,0.0015860579241052906,112,228.6984358085412,245.00942903631176
probit,M1_digital,online_bill_payment_2021,-0.13419256172659957,0.1975579067546569,-0.6792568514772257,0.4969751308815965,112,228.6984358085412,245.00942903631176
probit,M1_digital,log_adult_population,0.5708085318965063,0.11728160166647014,4.866991273872548,1.1331003001606225e-06,112,228.6984358085412,245.00942903631176
probit,M2_macro,account_ownership_2021,0.5832973466649607,0.2651615540578044,2.1997809929029293,0.02782243714598814,95,199.20709439420696,224.74586331021237
probit,M2_macro,online_bill_payment_2021,-0.19607829656257214,0.23799754131706363,-0.8238668999582391,0.41001518973787254,95,199.20709439420696,224.74586331021237
probit,M2_macro,log_adult_population,0.620796239275402,0.13780293339394684,4.504956636160194,6.638649759621263e-06,95,199.20709439420696,224.74586331021237
probit,M2_macro,log_gdp_per_capita_ppp_2021,-0.5720866373129831,0.36010984169619253,-1.5886448274180336,0.11214060158196151,95,199.20709439420696,224.74586331021237
probit,M2_macro,internet_users_2021,0.6724003401322659,0.2918121908429816,2.304222925676437,0.021210132912272903,95,199.20709439420696,224.74586331021237
probit,M2_macro,domestic_credit_private_2021,0.2447439111896518,0.15545761491358026,1.5743449513599337,0.11540772289415765,95,199.20709439420696,224.74586331021237
probit,M2_macro,inflation_2021,0.1832669827889005,0.11837474854147133,1.5481932172780486,0.12157578394861801,95,199.20709439420696,224.74586331021237
probit,M3_governance,account_ownership_2021,0.5471770916406753,0.2710009825382184,2.0190963387503906,0.04347720733463839,95,200.60708301119433,228.69972881880028
probit,M3_governance,online_bill_payment_2021,-0.2499827484516268,0.2487459270205194,-1.0049722278709126,0.3149102229318117,95,200.60708301119433,228.69972881880028
probit,M3_governance,log_adult_population,0.664363159379204,0.14924690872112994,4.4514366499917015,8.52976975717358e-06,95,200.60708301119433,228.69972881880028
probit,M3_governance,log_gdp_per_capita_ppp_2021,-0.67973790534437,0.38612740717340394,-1.7603979741306217,0.07834035260566896,95,200.60708301119433,228.69972881880028
probit,M3_governance,internet_users_2021,0.6987447994713858,0.29347599096666704,2.380926620844937,0.01726915155312225,95,200.60708301119433,228.69972881880028
probit,M3_governance,domestic_credit_private_2021,0.20945892264846722,0.1616820319938659,1.2954990734926806,0.1951481207680832,95,200.60708301119433,228.69972881880028
probit,M3_governance,inflation_2021,0.20238310192235895,0.1210132836859997,1.6724040184505224,0.0944446802456075,95,200.60708301119433,228.69972881880028
probit,M3_governance,wgi_governance_index_2021,0.21580533708255267,0.27852382035847234,0.7748182428519104,0.4384470679467072,95,200.60708301119433,228.69972881880028
logit,M1_digital,account_ownership_2021,1.119719267650069,0.3704013425932805,3.022989225175616,0.0025029115480658492,112,224.1170235450375,240.42801677280806
logit,M1_digital,online_bill_payment_2021,-0.11176572637906139,0.33632643625985714,-0.33231323597978313,0.7396527464099744,112,224.1170235450375,240.42801677280806
logit,M1_digital,log_adult_population,1.0541618006431037,0.2150915418862613,4.90099141694998,9.53542227561527e-07,112,224.1170235450375,240.42801677280806
logit,M2_macro,account_ownership_2021,0.990283397427828,0.4642796608096695,2.1329458966624704,0.03292916470566558,95,194.38887578804096,219.92764470404637
logit,M2_macro,online_bill_payment_2021,-0.258075585016072,0.4073312715966017,-0.6335766561808585,0.5263571393129555,95,194.38887578804096,219.92764470404637
logit,M2_macro,log_adult_population,1.1200662628042484,0.25218743639211544,4.441403897150155,8.937386072514777e-06,95,194.38887578804096,219.92764470404637
logit,M2_macro,log_gdp_per_capita_ppp_2021,-0.9861961352306621,0.6293228741228202,-1.5670749877084456,0.11709716484156493,95,194.38887578804096,219.92764470404637
logit,M2_macro,internet_users_2021,1.1397470025343885,0.5120313830197328,2.2259319259156904,0.02601874151077432,95,194.38887578804096,219.92764470404637
logit,M2_macro,domestic_credit_private_2021,0.5094273416652295,0.2729932282722016,1.866080506426626,0.06203010283899767,95,194.38887578804096,219.92764470404637
logit,M2_macro,inflation_2021,0.2888136863212713,0.18494842337812348,1.5615904209726477,0.1183845075218988,95,194.38887578804096,219.92764470404637
logit,M3_governance,account_ownership_2021,0.9568415500785481,0.4700734133163557,2.035515140769302,0.04179906665807829,95,195.75237700476183,223.84502281236777
logit,M3_governance,online_bill_payment_2021,-0.3852436792767778,0.4382392062949882,-0.8790716890297168,0.3793624069397141,95,195.75237700476183,223.84502281236777
logit,M3_governance,log_adult_population,1.203932954444797,0.2755516435548465,4.369173556408721,1.247176207598472e-05,95,195.75237700476183,223.84502281236777
logit,M3_governance,log_gdp_per_capita_ppp_2021,-1.1920863188972897,0.6810322488307929,-1.7504109694421703,0.08004742454113367,95,195.75237700476183,223.84502281236777
logit,M3_governance,internet_users_2021,1.1996942017050987,0.518392426419679,2.314258736360961,0.020653533793959632,95,195.75237700476183,223.84502281236777
logit,M3_governance,domestic_credit_private_2021,0.4376732783971077,0.2847922836395296,1.5368157901043566,0.12433842557991216,95,195.75237700476183,223.84502281236777
logit,M3_governance,inflation_2021,0.32492663053053916,0.19152289188559787,1.6965420025331863,0.08978328275508059,95,195.75237700476183,223.84502281236777
logit,M3_governance,wgi_governance_index_2021,0.4019536291501069,0.5034918576018139,0.798331935425243,0.4246778902779892,95,195.75237700476183,223.84502281236777
