term,coef,std_err,p_value,odds_ratio,or_ci_low,or_ci_high,n,pseudo_r2
const,-1.0306268617537058,0.2697174404845354,0.00013283868785468416,0.35678323668905787,0.21029092894042112,0.6053246263341432,112,0.2928231324210071
account_ownership_2021,1.3389559739623484,0.5226527036260962,0.010411733900916608,3.8150584051439833,1.3696777571758845,10.62634664132225,112,0.2928231324210071
online_bill_payment_2021,-0.44479110895141033,0.45676908376964587,0.33016740497884334,0.6409581524696087,0.26183465495699176,1.5690335310455203,112,0.2928231324210071
borrowed_any_2021,0.475196187784173,0.2842399501153339,0.09456110254901345,1.6083297011760793,0.9213605179999249,2.807505180817122,112,0.2928231324210071
log_adult_population,1.1084652621412292,0.29976573366654075,0.0002175003220923591,3.0297050214978527,1.683601452006807,5.452069732030734,112,0.2928231324210071
