wgi_dimension,coef_std,std_err,p_value,n,aic
wgi_voice_accountability_2021,0.045365108103205945,0.1961163928368384,0.817068332898489,95,201.1535963204652
wgi_political_stability_2021,-0.2850682537153037,0.21515694974914232,0.18519382026640385,95,199.43277685082776
wgi_government_effectiveness_2021,0.5408584595993032,0.30011008561784214,0.07151391154306116,95,197.92327756948401
wgi_regulatory_quality_2021,0.47255175061155963,0.29778606363461924,0.11253906324196822,95,198.66116969059587
wgi_rule_of_law_2021,0.1982290729901206,0.25797393356846243,0.44224520051610283,95,200.616712720051
wgi_control_corruption_2021,0.28056052225841926,0.24342029828536627,0.24908424191542433,95,199.87697674015925
